#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,year
25,Axel Bouteille,CSP,.613,.578,173.8,5.7,16.4,11.2,9.3,7.7,1.1,0.4,19.6,0.2,1.4,125.7,109.7,16.0,275.6,18.2,2018
26,William Howard,CSP,.633,.585,168.3,4.1,18.7,11.6,12.0,13.7,2.1,0.8,21.1,-1.4,1.5,119.5,107.1,12.4,290.0,18.2,2018
27,Romain Duport,RCB,.632,.614,175.9,7.3,20.6,14.0,9.3,10.7,1.3,1.3,18.8,-0.9,1.4,124.2,110.4,13.9,221.5,18.1,2018
28,Vee Sanford,ANT,.578,.555,168.6,2.9,11.7,7.4,17.6,14.1,2.2,0.9,27.2,-1.9,1.2,110.7,114.9,-4.2,256.4,18.1,2018
29,Paul Lacombe,ASM,.557,.528,150.5,5.4,18.6,11.8,18.2,17.2,3.9,2.1,23.0,-0.6,1.2,107.0,100.5,6.5,355.4,18.0,2018
30,David Logan,STR,.581,.566,169.9,2.1,6.4,4.3,13.0,8.8,1.8,0.5,24.5,0.6,1.2,119.1,110.4,8.7,316.1,17.6,2018
31,Eloy Vargas,BBD,.544,.483,116.4,12.6,27.3,20.0,6.7,12.8,1.4,3.2,23.4,-3.7,1.4,109.3,113.5,-4.2,121.0,17.4,2018
32,Valentin Bigote,DIJ,.604,.552,167.0,3.4,15.1,9.1,10.6,10.7,2.0,1.1,22.3,-0.7,1.4,116.1,111.9,4.2,231.6,17.4,2018
33,D.J. Cooper,ASM,.520,.522,145.9,3.0,12.0,7.4,45.7,22.3,2.3,0.2,18.0,12.5,1.1,118.7,108.0,10.7,332.1,17.2,2018
34,Jeremy Nzeulie,CHA,.548,.476,153.2,5.2,11.9,8.6,17.7,10.2,1.7,0.2,23.0,2.0,1.3,118.4,116.8,1.6,303.1,17.2,2018
35,Alade Aminu,N92,.587,.561,122.8,7.0,15.6,11.2,4.8,13.7,2.1,2.4,23.3,-4.8,1.4,107.6,110.8,-3.2,142.4,17.1,2018
36,Mickael Gelabale,CHA,.694,.658,183.7,7.0,18.7,12.9,10.3,13.0,1.2,0.8,14.5,0.2,1.6,135.0,114.0,21.0,250.0,17.1,2018
37,Rion Brown,DIJ,.624,.601,170.8,2.6,10.9,6.7,8.8,9.3,2.7,1.1,19.3,-0.1,1.4,119.6,111.8,7.8,299.6,17.1,2018
