#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
48,Jacorey Williams,CLE,50,30.7,15.6,6.5,11.9,.544,0.1,0.3,.267,2.6,4.2,.614,1.6,6.0,7.7,1.6,0.8,0.6,2.5,2.4,2018
49,Troy Caupain,LAK,50,37.5,15.6,5.5,12.8,.432,1.6,4.8,.345,2.9,3.4,.841,1.3,6.2,7.6,5.8,1.4,0.2,2.1,1.5,2018
50,Andrew White,ERI,39,30.6,15.6,5.5,12.3,.450,2.6,6.3,.405,2.0,2.4,.819,0.6,3.8,4.5,1.2,0.6,0.3,1.3,1.9,2018
51,LaDontae Henton,ACC,49,33.9,15.5,5.1,13.3,.382,2.2,6.6,.332,3.1,3.6,.860,0.8,4.0,4.8,1.6,1.0,0.4,1.4,1.8,2018
52,Bryce Alford,OKL,50,30.9,15.5,4.9,12.0,.411,3.7,9.1,.407,1.9,2.4,.793,0.5,2.4,2.9,2.0,0.9,0.1,1.3,1.0,2018
53,Jeremy Evans,ERI,39,30.7,15.3,5.9,9.6,.618,0.7,2.3,.319,2.7,3.5,.774,3.5,6.3,9.9,1.3,1.0,1.4,1.6,2.9,2018
54,Marcus Paige,GBO,46,32.6,15.2,5.2,12.2,.428,2.5,6.8,.373,2.2,2.6,.847,0.5,2.5,3.0,4.4,1.4,0.2,2.5,2.0,2018
55,Joshua Magette,ERI,36,34.8,15.1,5.1,13.6,.375,1.7,5.7,.301,3.2,4.0,.804,0.4,3.0,3.4,10.1,1.9,0.1,3.1,2.5,2018
56,Elijah Millsap,IWA,45,29.8,15.1,4.6,11.6,.395,1.7,4.6,.374,4.2,5.4,.782,0.8,4.5,5.3,2.3,1.5,0.6,2.0,3.3,2018
57,Nigel Hayes,RAP,43,34.0,15.0,5.6,12.6,.444,2.4,5.5,.434,1.5,2.1,.722,1.1,5.0,6.1,2.1,1.4,0.2,1.8,2.1,2018
58,Damian Jones,SCW,45,30.6,15.0,6.2,9.1,.678,0.0,0.1,.500,2.6,3.7,.693,2.4,5.6,8.0,2.0,0.6,2.2,2.0,3.2,2018
59,Landry Nnoko,GRD,49,32.6,14.7,5.6,9.7,.579,0.0,0.0,.000,3.6,4.8,.744,4.5,7.1,11.5,2.1,0.7,2.0,2.6,3.0,2018
60,Olivier Hanlan,AUS,44,30.5,14.7,5.4,11.9,.457,1.6,4.3,.368,2.2,2.8,.802,0.5,2.3,2.8,2.6,0.7,0.1,1.7,1.8,2018
61,Ike Nwamu,SXF,47,29.7,14.5,5.0,11.9,.422,3.0,8.4,.364,1.4,1.7,.829,0.5,2.8,3.2,2.3,1.0,0.2,1.9,2.0,2018
62,Jeremy Senglin,LIN,48,26.0,14.5,4.8,11.5,.422,2.4,6.8,.356,2.4,2.9,.826,0.3,2.4,2.7,2.6,1.0,0.2,1.6,1.5,2018
63,"James Blackmon, Jr.",WIS,47,28.5,14.4,4.7,10.3,.460,2.1,5.3,.407,2.7,3.2,.853,0.5,3.3,3.7,2.1,0.7,0.0,1.4,1.7,2018
64,Anthony Bennett,MNE,35,26.8,14.3,5.0,10.6,.470,2.6,6.1,.423,1.8,2.3,.775,1.9,4.9,6.7,1.8,1.0,0.6,2.1,2.0,2018
65,Bruno Caboclo,RNO,36,30.2,14.2,5.1,12.8,.398,2.4,6.9,.341,1.6,2.0,.831,1.7,4.7,6.4,1.3,1.3,1.6,1.9,2.4,2018
66,Alfonzo McKinnie,RAP,35,29.9,14.0,5.4,12.1,.447,1.5,4.4,.348,1.6,2.2,.714,1.8,5.7,7.5,1.3,0.7,0.4,2.1,2.5,2018
67,Ryan Arcidiacono,WCB,37,39.6,13.9,4.6,10.1,.456,2.0,4.5,.446,2.7,3.2,.833,0.5,4.5,5.0,8.5,1.7,0.2,2.8,2.9,2018
68,Rashawn Thomas,OKL,46,28.8,13.9,5.2,11.2,.460,0.8,3.4,.248,2.7,4.1,.668,1.7,5.6,7.2,2.7,1.4,0.8,2.7,3.2,2018
69,Daniel Dixon,MNE,46,33.3,13.3,4.5,11.4,.390,2.5,7.0,.353,1.9,2.3,.846,1.0,3.8,4.8,2.7,0.8,0.2,2.1,2.2,2018
